metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Lamport Stadium Park,Feb-23,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-02-01
Lower Don Parklands,Feb-23,43.69741478,-79.35386848,11,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-02-01
Marilyn Bell Park,Feb-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-02-01
Martin Goodman Trail,Feb-23,43.6580416,-79.3314175,0,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-02-01
Nordheimer Ravine,Feb-23,43.68179447,-79.4101068,1,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-02-01
Riverdale Park East,Feb-23,43.67094057,-79.35433043,4,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-02-01
Rosedale Ravine Lands,Feb-23,43.67272549,-79.37625428,8,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-02-01
Severn Creek Park,Feb-23,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-02-01
Trinity Square,Feb-23,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-02-01
0 William Kitchen Road,Mar-23,43.77245734,-79.27908994,1,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-03-01
10 Falstaff Avenue,Mar-23,43.71611118,-79.50666904,1,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-03-01
705 Progress Avenue,Mar-23,43.77674605,-79.24639967,3,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-03-01
Alexandra Park,Mar-23,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-03-01
Allan Gardens,Mar-23,43.66093307,-79.3735941,32,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-03-01
Bellevue Square Park,Mar-23,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-03-01
Budapest Park,Mar-23,43.63702846,-79.44931095,1,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-03-01
Charles Sauriol Conservation Area,Mar-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-03-01
Cherry Beach Clarke Beach Park,Mar-23,43.63692099,-79.3443083,0,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-03-01
Clarence Square Park,Mar-23,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-03-01
Dufferin Grove Park,Mar-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-03-01
E.T. Seton Park,Mar-23,43.70457547,-79.34127867,3,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-03-01
Earl Bales Park,Mar-23,43.75411432,-79.43277026,1,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-03-01
Garrison Common,Mar-23,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-03-01
High Park,Mar-23,43.64651218,-79.46393972,3,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-03-01
Humber Arboretum,Mar-23,43.73183403,-79.62077596,1,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-03-01
Lamport Stadium Park,Mar-23,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-03-01
Lower Don Parklands,Mar-23,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-03-01
Marilyn Bell Park,Mar-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-03-01
Martin Goodman Trail,Mar-23,43.6580416,-79.3314175,0,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-03-01
Nordheimer Ravine,Mar-23,43.68179447,-79.4101068,2,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-03-01
Riverdale Park East,Mar-23,43.67094057,-79.35433043,4,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-03-01
Rosedale Ravine Lands,Mar-23,43.67272549,-79.37625428,8,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-03-01
Severn Creek Park,Mar-23,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-03-01
Trinity Square,Mar-23,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-03-01
0 William Kitchen Road,Apr-23,43.77245734,-79.27908994,0,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-04-01
10 Falstaff Avenue,Apr-23,43.71611118,-79.50666904,1,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-04-01
705 Progress Avenue,Apr-23,43.77674605,-79.24639967,3,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-04-01
Alexandra Park,Apr-23,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-04-01
Allan Gardens,Apr-23,43.66093307,-79.3735941,34,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-04-01
Bellevue Square Park,Apr-23,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-04-01
Budapest Park,Apr-23,43.63702846,-79.44931095,1,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-04-01
Charles Sauriol Conservation Area,Apr-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-04-01
Cherry Beach Clarke Beach Park,Apr-23,43.63692099,-79.3443083,1,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-04-01
Clarence Square Park,Apr-23,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-04-01
Dufferin Grove Park,Apr-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-04-01
E.T. Seton Park,Apr-23,43.70457547,-79.34127867,3,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-04-01
Earl Bales Park,Apr-23,43.75411432,-79.43277026,1,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-04-01
Garrison Common,Apr-23,43.63806493,-79.40717673,0,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-04-01
High Park,Apr-23,43.64651218,-79.46393972,2,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-04-01
Humber Arboretum,Apr-23,43.73183403,-79.62077596,1,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-04-01
Lamport Stadium Park,Apr-23,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-04-01
Lower Don Parklands,Apr-23,43.69741478,-79.35386848,8,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-04-01
Marilyn Bell Park,Apr-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-04-01
Martin Goodman Trail,Apr-23,43.6580416,-79.3314175,0,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-04-01
Nordheimer Ravine,Apr-23,43.68179447,-79.4101068,2,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-04-01
Riverdale Park East,Apr-23,43.67094057,-79.35433043,7,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-04-01
Rosedale Ravine Lands,Apr-23,43.67272549,-79.37625428,7,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-04-01
Severn Creek Park,Apr-23,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-04-01
Trinity Square,Apr-23,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-04-01
0 William Kitchen Road,May-23,43.77245734,-79.27908994,1,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-05-01
10 Falstaff Avenue,May-23,43.71611118,-79.50666904,2,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-05-01
705 Progress Avenue,May-23,43.77674605,-79.24639967,4,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-05-01
Alexandra Park,May-23,43.65114655,-79.40510438,1,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-05-01
Allan Gardens,May-23,43.66093307,-79.3735941,50,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-05-01
Bellevue Square Park,May-23,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-05-01
Budapest Park,May-23,43.63702846,-79.44931095,1,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-05-01
Charles Sauriol Conservation Area,May-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-05-01
Cherry Beach Clarke Beach Park,May-23,43.63692099,-79.3443083,1,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-05-01
Clarence Square Park,May-23,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-05-01
Dufferin Grove Park,May-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-05-01
E.T. Seton Park,May-23,43.70457547,-79.34127867,2,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-05-01
Earl Bales Park,May-23,43.75411432,-79.43277026,2,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-05-01
Garrison Common,May-23,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-05-01
High Park,May-23,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-05-01
Humber Arboretum,May-23,43.73183403,-79.62077596,3,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-05-01
Lamport Stadium Park,May-23,43.63977468,-79.42245532,5,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-05-01
Lower Don Parklands,May-23,43.69741478,-79.35386848,9,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-05-01
Marilyn Bell Park,May-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-05-01
Martin Goodman Trail,May-23,43.6580416,-79.3314175,1,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-05-01
Nordheimer Ravine,May-23,43.68179447,-79.4101068,1,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-05-01
Riverdale Park East,May-23,43.67094057,-79.35433043,9,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-05-01
Rosedale Ravine Lands,May-23,43.67272549,-79.37625428,1,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-05-01
Severn Creek Park,May-23,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-05-01
Trinity Square,May-23,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-05-01
0 William Kitchen Road,Jun-23,43.77245734,-79.27908994,0,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-06-01
10 Falstaff Avenue,Jun-23,43.71611118,-79.50666904,2,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-06-01
705 Progress Avenue,Jun-23,43.77674605,-79.24639967,4,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-06-01
Alexandra Park,Jun-23,43.65114655,-79.40510438,1,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-06-01
Allan Gardens,Jun-23,43.66093307,-79.3735941,84,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-06-01
Bellevue Square Park,Jun-23,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-06-01
Budapest Park,Jun-23,43.63702846,-79.44931095,1,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-06-01
Charles Sauriol Conservation Area,Jun-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-06-01
Cherry Beach Clarke Beach Park,Jun-23,43.63692099,-79.3443083,3,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-06-01
Clarence Square Park,Jun-23,43.64418139,-79.39371522,0,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-06-01
Dufferin Grove Park,Jun-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-06-01
E.T. Seton Park,Jun-23,43.70457547,-79.34127867,1,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-06-01
Earl Bales Park,Jun-23,43.75411432,-79.43277026,3,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-06-01
Garrison Common,Jun-23,43.63806493,-79.40717673,2,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-06-01
High Park,Jun-23,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-06-01
Humber Arboretum,Jun-23,43.73183403,-79.62077596,2,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-06-01
Lamport Stadium Park,Jun-23,43.63977468,-79.42245532,19,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-06-01
Lower Don Parklands,Jun-23,43.69741478,-79.35386848,9,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-06-01
Marilyn Bell Park,Jun-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-06-01
Martin Goodman Trail,Jun-23,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-06-01
Nordheimer Ravine,Jun-23,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-06-01
Riverdale Park East,Jun-23,43.67094057,-79.35433043,5,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-06-01
Rosedale Ravine Lands,Jun-23,43.67272549,-79.37625428,7,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-06-01
Severn Creek Park,Jun-23,43.67559997,-79.38645,0,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-06-01
Trinity Square,Jun-23,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-06-01
0 William Kitchen Road,Jul-23,43.77245734,-79.27908994,0,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-07-01
10 Falstaff Avenue,Jul-23,43.71611118,-79.50666904,2,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-07-01
705 Progress Avenue,Jul-23,43.77674605,-79.24639967,4,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-07-01
Alexandra Park,Jul-23,43.65114655,-79.40510438,3,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-07-01
Allan Gardens,Jul-23,43.66093307,-79.3735941,85,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-07-01
Bellevue Square Park,Jul-23,43.65371478,-79.40192832,2,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-07-01
Budapest Park,Jul-23,43.63702846,-79.44931095,2,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-07-01
Charles Sauriol Conservation Area,Jul-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-07-01
Cherry Beach Clarke Beach Park,Jul-23,43.63692099,-79.3443083,4,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-07-01
Clarence Square Park,Jul-23,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-07-01
Dufferin Grove Park,Jul-23,43.65699352,-79.4336308,1,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-07-01
E.T. Seton Park,Jul-23,43.70457547,-79.34127867,1,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-07-01
Earl Bales Park,Jul-23,43.75411432,-79.43277026,2,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-07-01
Garrison Common,Jul-23,43.63806493,-79.40717673,2,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-07-01
High Park,Jul-23,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-07-01
Humber Arboretum,Jul-23,43.73183403,-79.62077596,2,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-07-01
Lamport Stadium Park,Jul-23,43.63977468,-79.42245532,23,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-07-01
Lower Don Parklands,Jul-23,43.69741478,-79.35386848,8,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-07-01
Marilyn Bell Park,Jul-23,43.63115941,-79.43083382,0,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-07-01
Martin Goodman Trail,Jul-23,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-07-01
Nordheimer Ravine,Jul-23,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-07-01
Riverdale Park East,Jul-23,43.67094057,-79.35433043,5,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-07-01
Rosedale Ravine Lands,Jul-23,43.67272549,-79.37625428,10,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-07-01
Severn Creek Park,Jul-23,43.67559997,-79.38645,1,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-07-01
Trinity Square,Jul-23,43.65472242,-79.38160967,1,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-07-01
0 William Kitchen Road,Aug-23,43.77245734,-79.27908994,0,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-08-01
10 Falstaff Avenue,Aug-23,43.71611118,-79.50666904,2,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-08-01
705 Progress Avenue,Aug-23,43.77674605,-79.24639967,4,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-08-01
Alexandra Park,Aug-23,43.65114655,-79.40510438,7,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2023-08-01
Allan Gardens,Aug-23,43.66093307,-79.3735941,64,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2023-08-01
Bellevue Square Park,Aug-23,43.65371478,-79.40192832,6,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2023-08-01
Budapest Park,Aug-23,43.63702846,-79.44931095,1,130,11,673,61,19,4,37,92,9,9,5,9,5,7,6,5,4,11,2,0,0,0,0,2023-08-01
Charles Sauriol Conservation Area,Aug-23,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2023-08-01
Cherry Beach Clarke Beach Park,Aug-23,43.63692099,-79.3443083,7,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2023-08-01
Clarence Square Park,Aug-23,43.64418139,-79.39371522,5,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2023-08-01
Dufferin Grove Park,Aug-23,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2023-08-01
E.T. Seton Park,Aug-23,43.70457547,-79.34127867,1,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2023-08-01
Earl Bales Park,Aug-23,43.75411432,-79.43277026,2,44,4,694,26,14,0,2,42,1,0,8,2,0,0,1,1,10,2,1,0,0,0,0,2023-08-01
Garrison Common,Aug-23,43.63806493,-79.40717673,3,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2023-08-01
High Park,Aug-23,43.64651218,-79.46393972,1,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2023-08-01
Humber Arboretum,Aug-23,43.73183403,-79.62077596,2,23,3,285,14,7,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-08-01
Lamport Stadium Park,Aug-23,43.63977468,-79.42245532,25,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2023-08-01
Lower Don Parklands,Aug-23,43.69741478,-79.35386848,4,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2023-08-01
Marilyn Bell Park,Aug-23,43.63115941,-79.43083382,3,116,7,515,64,16,3,41,108,11,12,8,9,5,8,8,6,3,11,2,0,0,0,0,2023-08-01
Martin Goodman Trail,Aug-23,43.6580416,-79.3314175,2,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2023-08-01
Nordheimer Ravine,Aug-23,43.68179447,-79.4101068,5,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2023-08-01
Riverdale Park East,Aug-23,43.67094057,-79.35433043,5,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2023-08-01
Rosedale Ravine Lands,Aug-23,43.67272549,-79.37625428,8,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2023-08-01
Severn Creek Park,Aug-23,43.67559997,-79.38645,5,191,21,1188,61,40,15,100,256,37,67,46,12,10,14,44,14,12,25,4,0,1,1,0,2023-08-01
Trinity Square,Aug-23,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2023-08-01
0 William Kitchen Road,Sep-23,43.77245734,-79.27908994,4,38,5,722,20,14,0,0,13,3,0,3,0,1,1,0,0,2,2,0,0,0,0,0,2023-09-01
10 Falstaff Avenue,Sep-23,43.71611118,-79.50666904,2,60,7,698,37,22,0,3,47,8,0,9,2,1,3,1,2,3,1,0,0,0,0,1,2023-09-01
705 Progress Avenue,Sep-23,43.77674605,-79.24639967,4,34,5,654,16,11,0,0,8,1,0,2,2,0,1,0,0,2,1,0,0,0,0,0,2023-09-01
