locationTypeCode,locationName,address,lat,lon
COOL_LOCN,Totts Tot Lot,1 GRADWELL DR,43.71320387,-79.23442889
COOL_LOCN,Douglas Snow Aquatic Centre,5100 Yonge St,43.767268,-79.414889
COOL_LOCN,Elm Park - North York,230 GOSFORD BLVD,43.76983211,-79.52541563
COOL_LOCN,John Innes Community Recreation Centre,150 SHERBOURNE ST,43.65557,-79.369955
COOL_LOCN,Driftwood Community Recreation Centre,4401 Jane St,43.765456,-79.518779
COOL_LOCN,Jonathan Ashbridge Park,1515 QUEEN ST,43.66464268,-79.32013169
COOL_LOCN,Mitchell Field Community Centre,89 CHURCH AVE,43.774539,-79.408281
COOL_LOCN,Earl Bales Community Centre,4169 Bathurst St,43.752582,-79.431882
COOL_LOCN,Greenwood Park,150 GREENWOOD AVE,43.66855,-79.328748
COOL_LOCN,East York Community Centre,1081 1/2 Pape Ave,43.691784,-79.34927
COOL_LOCN,Vradenberg Park,40 VRADENBERG DR,43.77479005,-79.31039627
COOL_LOCN,Fennimore Park,78 FENNIMORE CRES,43.7455929,-79.52249135
COOL_LOCN,Northwood Community Centre,15 CLUBHOUSE CRT,43.745563,-79.500372
COOL_LOCN,Sir Casimir Gzowski Park,2001 LAKE SHORE BLVD,43.6349239,-79.46631982
COOL_LOCN,White Haven Park,63 INVERGORDON AVE,43.78641328,-79.24996628
COOL_LOCN,Corvette Park,40 CORVETTE AVE,43.72712277,-79.25999445
COOL_LOCN,Edithvale Community Centre,131 Finch Ave W,43.776994,-79.426539
COOL_LOCN,Fred Hamilton Playground,155 ROXTON RD,43.65290885,-79.42043039
COOL_LOCN,Oriole Community Centre,2975 DON MILLS RD,43.78187,-79.351131
COOL_LOCN,Art Eggleton Park,323 HARBORD ST,43.65889417,-79.41835802
COOL_LOCN,Bridlewood Park,445 HUNTINGWOOD DR,43.78270993,-79.31658642
COOL_LOCN,Ellesmere Community Centre,20 Canadian Rd,43.760978,-79.29861
COOL_LOCN,Pleasantview Community Centre,545 VAN HORNE AVE,43.786962,-79.337102
COOL_LOCN,Elmbank Community Centre,10 Rampart Rd,43.7348,-79.588706
COOL_LOCN,Flemington Park,2 FLEMINGTON RD,43.72125375,-79.44479078
COOL_LOCN,Hideaway Park,23 AUDLEY AVE,43.66455493,-79.338183
COOL_LOCN,Prairie Drive Park,101 Pharmacy Ave DR,43.69705805,-79.28432047
COOL_LOCN,Fairbank Memorial Community Centre,2213 Dufferin St,43.691282,-79.447997
COOL_LOCN,Roding Community Centre,600 RODING ST,43.729276,-79.492601
COOL_LOCN,Seven Oaks Park,372 MILITARY TRL,43.78819505,-79.21078818
COOL_LOCN,Domenico Di Luca Community Recreation Centre,25 STANLEY RD,43.742429,-79.515673
COOL_LOCN,Elizabeth Simcoe Park,180 SYLVAN AVE,43.7393865,-79.20495388
