neighborhood_name,centroid_lat,centroid_lon,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic
160,43.60139102603336,-79.5265505288191,32,4,338,19,13,2,0,14,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0
20,43.60398157797405,-79.53226126238059,33,4,365,19,13,2,0,13,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0
19,43.60002491155192,-79.5281755359573,32,4,328,19,13,2,0,12,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0
18,43.60125085497968,-79.52650895021698,32,4,337,19,13,2,0,14,0,0,3,1,1,0,0,1,0,1,0,0,0,0,0
160,43.616482426744376,-79.52981367189244,46,6,550,27,18,2,0,24,1,0,4,1,1,1,0,1,0,2,1,0,0,0,0
159,43.61738930800063,-79.53491417046445,51,7,545,28,19,2,0,22,1,0,6,1,1,1,0,1,0,2,0,0,0,0,0
20,43.61245928493787,-79.53396969249162,38,5,467,22,15,2,0,22,1,0,3,1,1,1,0,1,0,2,0,0,0,0,0
159,43.62337427613072,-79.53624212002661,43,7,586,22,19,2,0,24,1,0,6,1,1,1,0,1,0,2,0,0,0,0,0
159,43.63269581594674,-79.53774964665817,38,4,615,27,13,2,0,18,1,0,5,1,1,1,0,1,0,2,0,0,0,0,0
158,43.63602167127223,-79.54188288644536,34,3,601,30,11,1,0,17,1,0,5,0,1,1,0,1,0,2,0,0,0,0,0
159,43.64001844125343,-79.53600534849166,32,3,640,29,10,2,0,16,1,0,4,1,1,1,0,1,0,1,0,0,0,0,0
158,43.643149804140016,-79.54072044320489,32,3,609,34,10,2,0,15,1,0,4,0,1,1,0,0,0,1,0,0,0,0,0
158,43.65217421780549,-79.54283890955703,34,4,613,38,14,2,0,14,1,0,5,0,1,1,0,0,0,1,0,0,0,0,0
10,43.65648889241128,-79.53999060767394,39,4,620,38,14,1,0,15,1,0,7,0,0,1,0,0,0,1,0,0,0,0,0
158,43.658198673623126,-79.5456692100029,37,4,600,40,14,1,0,14,2,0,7,0,0,1,0,0,0,1,0,0,0,0,0
10,43.66310971445328,-79.54440120968039,38,4,634,38,14,1,0,14,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0
10,43.6722816561674,-79.5466377045675,44,5,642,39,13,2,1,21,4,0,10,0,1,1,0,1,0,1,0,0,0,0,0
10,43.677553732961,-79.54760095578881,33,4,597,32,11,2,1,21,3,0,9,0,1,2,0,1,0,1,0,0,0,0,0
7,43.68239662418421,-79.54878480292959,31,4,600,29,6,1,1,19,3,0,8,0,1,2,0,1,0,0,0,0,0,0,0
6,43.68597646204218,-79.5538959386746,29,4,558,27,6,1,1,19,3,0,6,0,1,2,0,1,0,0,0,0,0,0,0
