location,type,lat,lon
Gus Ryder Pool and Health Club,Washroom Building,43.60121549,-79.52194716
Grandravine Community Recreation Centre,Washroom Building,43.751903,-79.49023791
Goulding Community Centre,Washroom Building,43.79093143,-79.42218742
Gord and Irene Risk Community Centre,Washroom Building,43.74738189,-79.56645395
Glen Long Community Centre,Washroom Building,43.70877837,-79.45586765
Flemingdon Community Centre,Washroom Building,43.71356733,-79.32638151
Falstaff Community Centre,Washroom Building,43.71661991,-79.50379685
Fairmount Park Community Centre,Washroom Building,43.67670825,-79.31492361
Fairfield Seniors' Centre,Washroom Building,43.639532,-79.51924362
Fairbank Memorial Community Centre,Washroom Building,43.69129945,-79.44798688
Etobicoke Olympium,Washroom Building,43.65023006,-79.5844329
Elmbank Community Centre,Washroom Building,43.73475482,-79.58866901
Ellesmere Community Centre,Washroom Building,43.76069713,-79.29934845
Edithvale Community Centre,Washroom Building,43.77692593,-79.42641853
Edgehill House,Washroom Building,43.6706706,-79.51666843
Edenbridge Centre,Washroom Building,43.67751487,-79.5107944
East York Community Centre,Washroom Building,43.69176623,-79.34925606
Earl Beatty Community Centre,Washroom Building,43.6862871,-79.321287
Earl Bales Community Centre,Washroom Building,43.75459522,-79.43397883
Driftwood Community Recreation Centre,Washroom Building,43.76541995,-79.51874362
Douglas Snow Aquatic Centre,Washroom Building,43.76718869,-79.41466797
Don Montgomery Community Centre,Washroom Building,43.73262903,-79.26169957
Domenico Di Luca Community Recreation Centre,Washroom Building,43.74243835,-79.51582707
Dennis R. Timbrell Resource Centre,Washroom Building,43.71787577,-79.33179472
Curran Hall,Washroom Building,43.77742831,-79.21081046
Cummer Park Community Centre,Washroom Building,43.80010145,-79.37127356
Chalkfarm Community Centre,Washroom Building,43.72396232,-79.5115751
Centennial Recreation Centre - Scarborough,Washroom Building,43.77453377,-79.23702885
Cedarbrook Community Centre,Washroom Building,43.75562391,-79.22739548
Carmine Stefano Community Centre,Washroom Building,43.73383934,-79.53896172
Canoe Landing Community Recreation Centre,Washroom Building,43.63970497,-79.39473721
Burrows Hall Community Centre,Washroom Building,43.79409823,-79.23430212
Broadlands Community Centre,Washroom Building,43.74591832,-79.32276038
Bob Abate Community Recreation Centre,Washroom Building,43.66239046,-79.42031024
Birkdale Community Centre,Washroom Building,43.76820609,-79.26376105
Sir Winston Churchill Park,Washroom Building,43.68326759,-79.40914677
