count,lat,lon,metadata,start_timestamp
3,43.65135346,-79.49062927,Kings Mill Park,May-22
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,May-22
5,43.67434988,-79.47987059,Lavender Creek Trail,May-22
13,43.69741478,-79.35386848,Lower Don Parklands,May-22
2,43.6580416,-79.3314175,Martin Goodman Trail,May-22
4,43.78090037,-79.19730417,Morningside Park,May-22
3,43.68179447,-79.4101068,Nordheimer Ravine,May-22
3,43.67094057,-79.35433043,Riverdale Park East,May-22
4,43.67272549,-79.37625428,Rosedale Ravine Lands,May-22
1,43.69866061,-79.24908553,Scarborough Heights Park,May-22
1,43.67559997,-79.38645,Severn Creek Park,May-22
3,43.69711646,-79.29741235,Taylor Creek Park,May-22
1,43.65472242,-79.38160967,Trinity Square,May-22
1,43.6981562,-79.28484213,Warden Woods Park,May-22
1,43.71724435,-79.35015227,Wilket Creek Park,May-22
2,43.66467932,-79.3134879,Woodbine Park (New),May-22
6,43.66093307,-79.3735941,Allan Gardens,Jun-22
2,43.72881139,-79.32116014,Charles Sauriol Conservation Area,Jun-22
0,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Jun-22
8,43.64418139,-79.39371522,Clarence Square Park,Jun-22
0,43.71931001,-79.51254444,Downsview Park and Lawn Bowling Greens,Jun-22
2,43.70457547,-79.34127867,E.T. Seton Park,Jun-22
1,43.63806493,-79.40717673,Garrison Common,Jun-22
0,43.65261301,-79.39221132,Grange Park,Jun-22
0,43.64651218,-79.46393972,High Park,Jun-22
3,43.65135346,-79.49062927,Kings Mill Park,Jun-22
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Jun-22
6,43.67434988,-79.47987059,Lavender Creek Trail,Jun-22
7,43.69741478,-79.35386848,Lower Don Parklands,Jun-22
2,43.6580416,-79.3314175,Martin Goodman Trail,Jun-22
3,43.78090037,-79.19730417,Morningside Park,Jun-22
2,43.68179447,-79.4101068,Nordheimer Ravine,Jun-22
2,43.67094057,-79.35433043,Riverdale Park East,Jun-22
7,43.67272549,-79.37625428,Rosedale Ravine Lands,Jun-22
1,43.69866061,-79.24908553,Scarborough Heights Park,Jun-22
0,43.67559997,-79.38645,Severn Creek Park,Jun-22
3,43.69711646,-79.29741235,Taylor Creek Park,Jun-22
1,43.65472242,-79.38160967,Trinity Square,Jun-22
1,43.6981562,-79.28484213,Warden Woods Park,Jun-22
1,43.71724435,-79.35015227,Wilket Creek Park,Jun-22
0,43.66467932,-79.3134879,Woodbine Park (New),Jun-22
5,43.66093307,-79.3735941,Allan Gardens,Jul-22
